C_X,C_N,C_L,F_in,C_N_in,I0,Time
2.489860773086548,1.0551555156707764,0.0053498693741858006,0.001,10,150,48.24120603015076
2.5070371627807617,1.0599968433380127,0.005387676414102316,0.001,10,150,48.99497487437186
2.5238189697265625,1.0647966861724854,0.005424443632364273,0.001,10,150,49.74874371859297
2.5402157306671143,1.0695550441741943,0.005460196174681187,0.001,10,150,50.502512562814076
2.5562360286712646,1.0742757320404053,0.005494957789778709,0.001,10,150,51.25628140703518
2.5718886852264404,1.0789587497711182,0.005528752692043781,0.001,10,150,52.01005025125628
2.58718204498291,1.0836055278778076,0.00556160369887948,0.001,10,150,52.76381909547739
2.6021246910095215,1.08821702003479,0.005593533627688885,0.001,10,150,53.517587939698494
2.6167244911193848,1.0927937030792236,0.0056245638988912106,0.001,10,150,54.2713567839196
2.6309893131256104,1.0973379611968994,0.005654715932905674,0.001,10,150,55.02512562814071
2.6449272632598877,1.1018493175506592,0.0056840116158127785,0.001,10,150,55.77889447236181
2.65854549407959,1.1063296794891357,0.005712470505386591,0.001,10,150,56.53266331658292
2.671851634979248,1.110780954360962,0.005740112625062466,0.001,10,150,57.286432160804026
2.6848528385162354,1.1152021884918213,0.005766957998275757,0.001,10,150,58.04020100502513
2.6975560188293457,1.1195957660675049,0.005793025717139244,0.001,10,150,58.79396984924623
2.709968090057373,1.1239631175994873,0.005818333942443132,0.001,10,150,59.54773869346734
2.7220959663391113,1.1283047199249268,0.005842901300638914,0.001,10,150,60.301507537688444
2.7339460849761963,1.132620096206665,0.005866745486855507,0.001,10,150,61.05527638190955
2.7455248832702637,1.136911153793335,0.005889883730560541,0.001,10,150,61.80904522613066
2.75683856010437,1.1411798000335693,0.005912333261221647,0.001,10,150,62.56281407035176
2.7678935527801514,1.1454260349273682,0.005934110376983881,0.001,10,150,63.31658291457287
2.778695583343506,1.149651288986206,0.0059552318416535854,0.001,10,150,64.07035175879398
2.789250612258911,1.1538550853729248,0.005975713022053242,0.001,10,150,64.82412060301507
2.7995641231536865,1.158038854598999,0.005995568819344044,0.001,10,150,65.57788944723619
2.8096418380737305,1.1622021198272705,0.00601481506600976,0.001,10,150,66.33165829145729
2.8194892406463623,1.1663477420806885,0.006033466663211584,0.001,10,150,67.0854271356784
2.8291115760803223,1.1704747676849365,0.006051537115126848,0.001,10,150,67.8391959798995
2.8385140895843506,1.1745855808258057,0.006069041322916746,0.001,10,150,68.59296482412061
2.8477017879486084,1.1786811351776123,0.00608599279075861,0.001,10,150,69.34673366834171
2.856679677963257,1.18276047706604,0.006102404557168484,0.001,10,150,70.10050251256281
2.865452527999878,1.1868250370025635,0.006118289660662413,0.001,10,150,70.85427135678393
2.8740251064300537,1.1908752918243408,0.006133661605417728,0.001,10,150,71.60804020100502
2.882401943206787,1.194911241531372,0.0061485315673053265,0.001,10,150,72.36180904522614
2.89058780670166,1.1989343166351318,0.006162912584841251,0.001,10,150,73.11557788944724
2.8985869884490967,1.2029445171356201,0.0061768172308802605,0.001,10,150,73.86934673366835
2.9064037799835205,1.2069437503814697,0.006190256215631962,0.001,10,150,74.62311557788945
2.9140424728393555,1.2109310626983643,0.006203241180628538,0.001,10,150,75.37688442211056
2.9215071201324463,1.2149074077606201,0.006215783767402172,0.001,10,150,76.13065326633166
2.9288015365600586,1.218874216079712,0.006227893754839897,0.001,10,150,76.88442211055276
2.935929775238037,1.2228305339813232,0.006239582318812609,0.001,10,150,77.63819095477388
2.9428958892822266,1.2267777919769287,0.0062508597038686275,0.001,10,150,78.39195979899498
2.9497034549713135,1.2307159900665283,0.006261735688894987,0.001,10,150,79.14572864321609
2.9563560485839844,1.2346465587615967,0.006272220518440008,0.001,10,150,79.89949748743719
2.962857484817505,1.2385694980621338,0.006282323505729437,0.001,10,150,80.6532663316583
2.9692111015319824,1.2424848079681396,0.006292054895311594,0.001,10,150,81.4070351758794
2.9754202365875244,1.246394395828247,0.006301423534750938,0.001,10,150,82.16080402010051
2.9814882278442383,1.2502977848052979,0.006310437340289354,0.001,10,150,82.91457286432161
2.9874184131622314,1.2541954517364502,0.006319105159491301,0.001,10,150,83.66834170854271
2.9932138919830322,1.2580864429473877,0.006327436771243811,0.001,10,150,84.42211055276383
2.998877763748169,1.2619736194610596,0.006335440091788769,0.001,10,150,85.17587939698493
3.004413366317749,1.2658545970916748,0.0063431235030293465,0.001,10,150,85.92964824120604
3.0098230838775635,1.2697312831878662,0.006350494455546141,0.001,10,150,86.68341708542714
3.0151102542877197,1.2736055850982666,0.006357560399919748,0.001,10,150,87.43718592964825
3.020277500152588,1.2774760723114014,0.006364329718053341,0.001,10,150,88.19095477386935
3.025327682495117,1.281343698501587,0.006370809394866228,0.001,10,150,88.94472361809046
3.030263662338257,1.2852075099945068,0.006377006880939007,0.001,10,150,89.69849246231156
3.035087823867798,1.289069414138794,0.006382929161190987,0.001,10,150,90.45226130653266
3.0398027896881104,1.29292893409729,0.006388583220541477,0.001,10,150,91.20603015075378
3.0444111824035645,1.2967870235443115,0.006393975578248501,0.001,10,150,91.95979899497488
3.048915386199951,1.3006436824798584,0.006399113219231367,0.001,10,150,92.71356783919599
3.0533175468444824,1.3044993877410889,0.006404002197086811,0.001,10,150,93.46733668341709
3.0576205253601074,1.3083531856536865,0.006408649031072855,0.001,10,150,94.2211055276382
3.061826229095459,1.312206506729126,0.006413060240447521,0.001,10,150,94.9748743718593
3.065937042236328,1.3160598278045654,0.006417240481823683,0.001,10,150,95.72864321608041
3.0699551105499268,1.3199145793914795,0.006421196274459362,0.001,10,150,96.48241206030151
3.073882579803467,1.3237683773040771,0.006424933671951294,0.001,10,150,97.23618090452261
3.077721357345581,1.3276236057281494,0.006428457796573639,0.001,10,150,97.98994974874373
3.0814738273620605,1.3314788341522217,0.006431774701923132,0.001,10,150,98.74371859296483
3.085141658782959,1.3353359699249268,0.006434889510273933,0.001,10,150,99.49748743718594
3.0887269973754883,1.3391931056976318,0.006437806878238916,0.001,10,150,100.25125628140704
3.0922317504882812,1.3430531024932861,0.006440532393753529,0.001,10,150,101.00502512562815
3.0956575870513916,1.3469140529632568,0.00644307117909193,0.001,10,150,101.75879396984925
3.099006414413452,1.3507769107818604,0.0064454274252057076,0.001,10,150,102.51256281407036
3.1022801399230957,1.3546416759490967,0.006447606720030308,0.001,10,150,103.26633165829146
3.105480194091797,1.358508825302124,0.0064496127888560295,0.001,10,150,104.02010050251256
3.1086087226867676,1.3623793125152588,0.006451450288295746,0.001,10,150,104.77386934673368
3.1116669178009033,1.3662512302398682,0.00645312387496233,0.001,10,150,105.52763819095478
3.114656448364258,1.3701269626617432,0.006454637739807367,0.001,10,150,106.28140703517589
3.1175789833068848,1.3740060329437256,0.006455996539443731,0.001,10,150,107.03517587939699
