Index_within_Experiment,Time,C_X,C_N,C_L,C_x0,C_N0,F_in,C_N_in,I0
144,108.5427136,2.830069549,5.276372236,0.004593173,1.5,1.6,0.006,7,103
145,109.2964824,2.832185434,5.303511567,0.00460428,1.5,1.6,0.006,7,103
146,110.0502513,2.834270893,5.330657465,0.004615277,1.5,1.6,0.006,7,103
147,110.8040201,2.83632678,5.357809731,0.004626165,1.5,1.6,0.006,7,103
148,111.5577889,2.838353943,5.384968167,0.004636948,1.5,1.6,0.006,7,103
149,112.3115578,2.840353223,5.412132575,0.004647627,1.5,1.6,0.006,7,103
150,113.0653266,2.842323745,5.439303196,0.0046582,1.5,1.6,0.006,7,103
151,113.8190955,2.844263658,5.466480514,0.004668665,1.5,1.6,0.006,7,103
152,114.5728643,2.846173381,5.493664437,0.004679021,1.5,1.6,0.006,7,103
153,115.3266332,2.848053351,5.520854869,0.004689271,1.5,1.6,0.006,7,103
154,116.080402,2.849903997,5.548051713,0.004699416,1.5,1.6,0.006,7,103
155,116.8341709,2.851725749,5.575254874,0.004709457,1.5,1.6,0.006,7,103
156,117.5879397,2.853519029,5.60246426,0.004719395,1.5,1.6,0.006,7,103
157,118.3417085,2.855284258,5.629679776,0.004729232,1.5,1.6,0.006,7,103
158,119.0954774,2.857021851,5.65690133,0.004738968,1.5,1.6,0.006,7,103
159,119.8492462,2.858732222,5.684128831,0.004748606,1.5,1.6,0.006,7,103
160,120.6030151,2.860415778,5.711362189,0.004758145,1.5,1.6,0.006,7,103
161,121.3567839,2.862072924,5.738601313,0.004767588,1.5,1.6,0.006,7,103
162,122.1105528,2.863704061,5.765846114,0.004776935,1.5,1.6,0.006,7,103
163,122.8643216,2.865309586,5.793096506,0.004786189,1.5,1.6,0.006,7,103
164,123.6180905,2.866889892,5.8203524,0.004795349,1.5,1.6,0.006,7,103
165,124.3718593,2.868445369,5.84761371,0.004804417,1.5,1.6,0.006,7,103
166,125.1256281,2.869976403,5.874880351,0.004813394,1.5,1.6,0.006,7,103
167,125.879397,2.871483374,5.902152238,0.004822282,1.5,1.6,0.006,7,103
168,126.6331658,2.872966662,5.929429288,0.004831081,1.5,1.6,0.006,7,103
169,127.3869347,2.874426639,5.956711418,0.004839793,1.5,1.6,0.006,7,103
170,128.1407035,2.875863678,5.983998546,0.004848419,1.5,1.6,0.006,7,103
171,128.8944724,2.877278143,6.01129059,0.004856959,1.5,1.6,0.006,7,103
172,129.6482412,2.878670398,6.03858747,0.004865415,1.5,1.6,0.006,7,103
173,130.4020101,2.880040802,6.065889107,0.004873789,1.5,1.6,0.006,7,103
174,131.1557789,2.88138971,6.093195423,0.00488208,1.5,1.6,0.006,7,103
175,131.9095477,2.882717473,6.120506339,0.004890291,1.5,1.6,0.006,7,103
176,132.6633166,2.884024439,6.147821779,0.004898421,1.5,1.6,0.006,7,103
177,133.4170854,2.885310951,6.175141667,0.004906473,1.5,1.6,0.006,7,103
178,134.1708543,2.886577348,6.202465928,0.004914447,1.5,1.6,0.006,7,103
179,134.9246231,2.887823969,6.229794487,0.004922345,1.5,1.6,0.006,7,103
180,135.678392,2.889051143,6.25712727,0.004930167,1.5,1.6,0.006,7,103
181,136.4321608,2.8902592,6.284464207,0.004937914,1.5,1.6,0.006,7,103
182,137.1859296,2.891448465,6.311805224,0.004945587,1.5,1.6,0.006,7,103
183,137.9396985,2.892619257,6.339150251,0.004953187,1.5,1.6,0.006,7,103
184,138.6934673,2.893771895,6.366499217,0.004960716,1.5,1.6,0.006,7,103
185,139.4472362,2.894906691,6.393852055,0.004968174,1.5,1.6,0.006,7,103
186,140.201005,2.896023955,6.421208695,0.004975562,1.5,1.6,0.006,7,103
187,140.9547739,2.897123991,6.44856907,0.004982881,1.5,1.6,0.006,7,103
188,141.7085427,2.898207103,6.475933113,0.004990132,1.5,1.6,0.006,7,103
189,142.4623116,2.899273587,6.50330076,0.004997316,1.5,1.6,0.006,7,103
