t,theta,omega
3.7837837837837838,-1.1162137109569632,0.2996562684257076
3.803803803803804,-1.1397761957733765,0.3532348864691925
3.823823823823824,-1.1672495038053492,0.32019002698647475
3.843843843843844,-1.1601370115751997,0.3474609514041143
3.863863863863864,-1.1118637009232222,0.39188574778086266
3.883883883883884,-1.1073150614710046,0.37113846390648425
3.903903903903904,-1.150867231698304,0.41840185875968405
3.923923923923924,-1.1055672675807129,0.4443483242731239
3.943943943943944,-1.073202774183116,0.4556915342297939
3.963963963963964,-1.0627944438277295,0.47519261754626213
3.983983983983984,-1.0577979687699686,0.4741073605608255
4.004004004004004,-1.0620423828809997,0.5096345491045956
4.024024024024024,-1.0317411482028416,0.5152230320931261
4.044044044044044,-1.027082648613662,0.5350752393460629
4.064064064064064,-1.0288659764937644,0.5741664345424254
4.084084084084084,-1.0550426053920792,0.5487149147746039
4.104104104104104,-1.033150869727747,0.5449188486126124
4.124124124124124,-1.0050602039429566,0.6233992361083103
4.1441441441441444,-0.9848449504835443,0.6290522390596652
4.1641641641641645,-0.9446826097161725,0.6681962918507561
4.1841841841841845,-0.954839608338021,0.6851142789699904
4.2042042042042045,-0.938277396191002,0.6575419040233526
4.2242242242242245,-0.9383473280013619,0.6607670677847429
4.2442442442442445,-0.9302409604114587,0.6991391730493167
4.2642642642642645,-0.8821085141597592,0.7564634100851977
4.2842842842842845,-0.9112122848630946,0.7454727544013473
4.3043043043043046,-0.8894581640282123,0.7624907787589682
4.324324324324325,-0.8560416660476032,0.7315644226873788
4.344344344344345,-0.819324635894455,0.7710658081239051
4.364364364364365,-0.8327413469960497,0.7765440397808259
4.384384384384385,-0.8190281805625143,0.8210524535352449
4.404404404404405,-0.7933174170597682,0.8333979485453856
4.424424424424425,-0.7655995418084558,0.8673346417514587
4.444444444444445,-0.7627193359608395,0.8252396472461343
4.464464464464465,-0.7172698959017888,0.8617531270275343
4.484484484484485,-0.6988033959101504,0.8893991694431348
4.504504504504505,-0.705934297600564,0.9017904509970385
4.524524524524525,-0.6462483934475602,0.9491643113341217
4.544544544544545,-0.6655844736893117,0.9233566239906443
4.564564564564565,-0.626902819631338,0.9154779379243686
4.584584584584585,-0.6229796980264105,0.9438143993199243
4.604604604604605,-0.6043404229699153,0.9392988736452781
4.624624624624625,-0.6231576226468037,0.9258272650651809
4.644644644644645,-0.5942382095397082,0.9691122639009303
4.664664664664665,-0.5580617039803247,1.02769953168774
4.684684684684685,-0.5101751179108502,0.9800447734264054
4.704704704704705,-0.505234530258336,1.0011316270298112
4.724724724724725,-0.49757327607198304,1.0226137032162292
4.744744744744745,-0.45901059497868224,1.0213960715101107
4.764764764764765,-0.4294430005577858,1.0142493925192972
4.784784784784785,-0.42974468104577274,1.0975744078847396
4.804804804804805,-0.40439427480787726,1.082437059500159
4.824824824824825,-0.3858505414437988,1.0731526270463954
4.844844844844845,-0.36749017419713964,1.0654993798444279
4.864864864864865,-0.3604741615375434,1.0844840362148465
4.884884884884885,-0.34030976413986624,1.0957543943818764
