,C_X,C_N,C_L,F_in,C_N_in,I0,Time
15102,2.94540754,7.528573492,0.004514177,0.009,11,136,76.88442211
15103,2.94979245,7.597826569,0.004530823,0.009,11,136,77.63819095
15104,2.954094652,7.66709878,0.00454722,0.009,11,136,78.3919598
15105,2.958315965,7.736389689,0.004563375,0.009,11,136,79.14572864
15106,2.962458189,7.805698863,0.00457929,0.009,11,136,79.89949749
15107,2.966523116,7.875025872,0.004594972,0.009,11,136,80.65326633
15108,2.970512523,7.944370288,0.004610425,0.009,11,136,81.40703518
15109,2.974428174,8.013731688,0.004625654,0.009,11,136,82.16080402
15110,2.978271818,8.083109648,0.004640662,0.009,11,136,82.91457286
15111,2.982045195,8.152503751,0.004655455,0.009,11,136,83.66834171
15112,2.985750027,8.22191358,0.004670037,0.009,11,136,84.42211055
15113,2.989388027,8.291338722,0.004684412,0.009,11,136,85.1758794
15114,2.992960893,8.360778766,0.004698586,0.009,11,136,85.92964824
15115,2.996470308,8.430233305,0.004712561,0.009,11,136,86.68341709
15116,2.999917946,8.499701934,0.004726344,0.009,11,136,87.43718593
15117,3.003305465,8.569184251,0.004739937,0.009,11,136,88.19095477
15118,3.00663451,8.638679856,0.004753346,0.009,11,136,88.94472362
15119,3.009906714,8.708188354,0.004766575,0.009,11,136,89.69849246
15120,3.013123696,8.777709351,0.004779627,0.009,11,136,90.45226131
15121,3.016287061,8.847242456,0.004792507,0.009,11,136,91.20603015
15122,3.019398404,8.916787281,0.004805218,0.009,11,136,91.95979899
15123,3.022459303,8.986343441,0.004817767,0.009,11,136,92.71356784
15124,3.025471325,9.055910555,0.004830155,0.009,11,136,93.46733668
15125,3.028436024,9.125488241,0.004842387,0.009,11,136,94.22110553
15126,3.03135494,9.195076125,0.004854468,0.009,11,136,94.97487437
15127,3.034229477,9.264673867,0.0048664,0.009,11,136,95.72864322
15128,3.037058487,9.334281858,0.004878184,0.009,11,136,96.48241206
15129,3.039841632,9.403900234,0.004889818,0.009,11,136,97.2361809
