C_X,C_N,C_L,F_in,C_N_in,I0,Time,C_X_actual,C_N_actual,C_L_actual
2.5530097484588623,7.558845520019531,0.0021041424479335546,0.015,14.0,134.0,31.658291457286435,2.626388775,8.248779515,0.002379698
2.5634987354278564,7.685642242431641,0.0021428964100778103,0.015,14.0,134.0,32.41206030150754,2.63670838,8.400325453,0.002417487
2.5734400749206543,7.8127570152282715,0.002180607756599784,0.015,14.0,134.0,33.165829145728644,2.646809978,8.55192361,0.002454685
2.581502676010132,7.943701267242432,0.0022155053447932005,0.015,14.0,134.0,33.91959798994975,2.656698147,8.703572872,0.002491305
2.588057518005371,8.077682495117188,0.0022474040742963552,0.015,14.0,134.0,34.67336683417086,2.666377459,8.855272121,0.002527358
2.593214750289917,8.213995933532715,0.0022776671685278416,0.015,14.0,134.0,35.42713567839196,2.675852476,9.00702024,0.002562855
2.597731590270996,8.350818634033203,0.0023069388698786497,0.015,14.0,134.0,36.18090452261307,2.685127758,9.15881611,0.002597806
2.6015963554382324,8.48815631866455,0.0023352233693003654,0.015,14.0,134.0,36.934673366834176,2.694207853,9.310658611,0.002632223
2.60479736328125,8.626019477844238,0.002362525323405862,0.015,14.0,134.0,37.68844221105528,2.703097306,9.462546624,0.002666116
2.607323169708252,8.76441478729248,0.002388848690316081,0.015,14.0,134.0,38.44221105527638,2.711800652,9.614479026,0.002699498
2.609161853790283,8.903351783752441,0.002414198825135827,0.015,14.0,134.0,39.19597989949749,2.720322421,9.766454695,0.002732378
2.6103017330169678,9.042839050292969,0.0024385801516473293,0.015,14.0,134.0,39.949748743718594,2.728667137,9.918472509,0.002764767
2.6107308864593506,9.182883262634277,0.0024619982577860355,0.015,14.0,134.0,40.7035175879397,2.736839314,10.07053134,0.002796676
2.6104371547698975,9.323494911193848,0.002484458265826106,0.015,14.0,134.0,41.45728643216081,2.744843462,10.22263007,0.002828116
2.6094086170196533,9.464682579040527,0.0025059650652110577,0.015,14.0,134.0,42.21105527638191,2.752684082,10.37476757,0.002859098
2.607633113861084,9.606454849243164,0.0025265244767069817,0.015,14.0,134.0,42.96482412060302,2.76036567,10.52694271,0.002889631
2.605098247528076,9.748822212219238,0.002546142553910613,0.015,14.0,134.0,43.718592964824126,2.767892714,10.67915436,0.002919727
2.6017918586730957,9.891793251037598,0.002564825117588043,0.015,14.0,134.0,44.47236180904523,2.775269695,10.8314014,0.002949396
2.59770131111145,10.035377502441406,0.002582578221336007,0.015,14.0,134.0,45.22613065326633,2.782501087,10.9836827,0.002978649
